CustomerID,Recency,Frequency,Monetary,Segment
12588,39,1,214.89999999999998,Normal
12589,29,2,646.68,Potential Loyalist
12590,211,2,9864.26,Hibernating
12591,317,1,452.84999999999997,Hibernating
12592,92,2,437.6,Hibernating
12593,109,3,418.09999999999997,Normal
12594,38,10,3338.2200000000003,Loyal
12596,51,2,618.27,Need Attention
12597,19,4,3811.22,Champions
12598,10,8,3023.08,Champions
12599,29,7,1032.58,Champions
12600,29,10,2599.04,Champions
12601,190,5,577.0600000000001,At Risk
12602,59,1,153.12,Normal
12603,22,1,739.1999999999999,New Customer
12604,79,2,254.18,Hibernating
12607,60,1,1579.51,Normal
12609,78,3,1126.85,At Risk
12610,23,5,2099.54,Champions
12611,52,1,1193.32,Normal
12612,74,1,704.0400000000001,Hibernating
12613,57,5,3344.38,Loyal
12614,278,1,315.6,Hibernating
12615,2,4,2291.19,Champions
12616,95,2,713.3,Hibernating
12617,29,1,355.53,New Customer
12618,22,1,177.31,New Customer
12619,16,9,3641.24,Champions
12620,15,3,1339.41,Potential Loyalist
12621,2,20,13689.67,Champions
12622,232,1,180.1,Hibernating
12623,276,1,305.1,Hibernating
12624,106,2,641.13,Hibernating
12625,212,2,2683.82,Hibernating
12626,23,9,6620.48,Champions
12627,11,7,4478.53,Champions
12628,4,3,786.46,Potential Loyalist
12630,10,2,1270.88,Potential Loyalist
12631,57,1,640.5,Normal
12633,59,4,2163.98,Loyal
12635,90,2,1689.18,Hibernating
12637,67,8,6021.9,Loyal
12638,33,1,671.69,New Customer
12639,239,1,486.1,Hibernating
12640,24,3,1174.58,Potential Loyalist
12641,115,1,185.9,Hibernating
12642,25,3,1013.26,Potential Loyalist
12643,128,6,3344.64,At Risk
12644,130,1,477.91,Hibernating
12645,34,4,1775.18,Loyal
12646,5,2,1346.97,Potential Loyalist
12647,22,12,3722.82,Champions
12648,155,1,318.05,Hibernating
12649,107,3,623.51,At Risk
12650,3,1,314.44,New Customer
12651,335,1,114.0,Hibernating
12652,331,1,919.98,Hibernating
12653,149,2,2209.85,Hibernating
12654,11,5,601.98,Loyal
12656,17,5,4051.17,Champions
12657,11,4,1643.18,Champions
12658,19,1,686.05,New Customer
12659,30,1,91.68,New Customer
12660,11,1,245.1,New Customer
12662,1,11,3849.78,Champions
12664,8,9,4881.88,Champions
12665,325,1,63.0,Hibernating
12667,58,1,620.13,Normal
12668,12,4,3807.15,Champions
12669,151,3,2744.0299999999997,At Risk
12670,10,5,2996.05,Champions
12672,330,1,225.89999999999998,Hibernating
12673,5,2,610.52,Potential Loyalist
12674,39,4,1970.6,Loyal
12676,25,6,1331.39,Champions
12678,42,12,17628.46,Loyal
12679,59,4,1113.02,Loyal
12680,1,4,862.81,Loyal
12681,15,22,13787.54,Champions
12682,4,31,12288.22,Champions
12683,4,15,8476.57,Champions
12684,8,7,2283.63,Champions
12685,28,6,2863.08,Champions
12686,372,1,89.14,Hibernating
12688,114,1,4873.8099999999995,Hibernating
12689,26,2,1247.61,Potential Loyalist
12690,206,1,389.01,Hibernating
12691,28,6,1035.8,Champions
12693,127,4,855.91,At Risk
12694,70,2,869.67,Need Attention
12695,7,4,582.1,Loyal
12697,29,3,957.59,Potential Loyalist
12700,8,4,4939.99,Champions
12701,80,2,797.71,Hibernating
12702,20,1,219.0,New Customer
12703,71,1,283.55,Normal
12704,7,8,2340.84,Champions
12705,15,9,6868.29,Champions
12707,292,1,603.42,Hibernating
12708,30,10,2712.91,Champions
12709,15,15,9736.52,Champions
12710,97,3,1149.02,At Risk
12712,29,13,4396.13,Champions
12713,1,1,848.55,New Customer
12714,9,5,4708.86,Champions
12715,106,1,353.86,Hibernating
12716,4,2,1053.49,Potential Loyalist
12717,151,2,1030.98,Hibernating
12718,71,1,238.25,Normal
12719,5,2,644.95,Potential Loyalist
12720,3,25,5781.73,Champions
12721,32,6,2656.13,Champions
12722,85,4,997.63,At Risk
12723,4,5,725.07,Loyal
12724,5,4,1031.41,Champions
12725,371,1,427.8,Hibernating
12726,28,7,2609.1,Champions
12727,11,7,3980.7,Champions
12728,71,4,836.33,Loyal
12729,114,1,453.01,Hibernating
12731,24,12,18895.91,Champions
12732,180,1,236.26000000000002,Hibernating
12733,234,1,383.95,Hibernating
12734,353,1,110.39999999999999,Hibernating
12735,315,2,779.5699999999999,Hibernating
12736,333,1,234.0,Hibernating
12738,372,1,155.35,Hibernating
12739,78,2,1013.04,Hibernating
12740,64,1,427.6,Normal
12743,134,2,546.43,Hibernating
12744,52,7,21279.29,Loyal
12747,2,11,4196.01,Champions
12748,1,209,33719.73,Champions
12749,4,5,4090.88,Champions
12750,129,1,275.88,Hibernating
12752,81,1,4366.78,Hibernating
12753,23,6,21429.39,Champions
12754,236,3,3010.74,At Risk
12755,281,2,3811.95,Hibernating
12756,87,1,112.07999999999998,Hibernating
12757,16,13,7857.1,Champions
12758,117,2,2791.59,Hibernating
12759,52,3,1531.44,Need Attention
12762,8,2,1898.52,Potential Loyalist
12763,138,2,494.08,Hibernating
12764,317,1,1693.88,Hibernating
12766,4,7,6989.63,Champions
12769,239,1,1143.6,Hibernating
12770,211,1,1351.45,Hibernating
12772,60,1,892.47,Normal
12775,17,5,1386.04,Champions
12778,20,6,822.23,Loyal
12779,38,8,3981.36,Loyal
12781,64,2,826.74,Need Attention
12782,5,5,2330.92,Champions
12783,2,6,2225.91,Champions
12784,9,2,574.42,Potential Loyalist
12785,364,1,311.95,Hibernating
12787,10,3,463.66,Potential Loyalist
12789,65,1,91.85,Normal
12790,192,1,324.92,Hibernating
12791,374,1,192.60000000000002,Hibernating
12792,257,1,400.53999999999996,Hibernating
12793,335,2,545.48,Hibernating
12794,53,2,860.41,Need Attention
12795,19,1,430.48,New Customer
12797,366,1,254.03,Hibernating
12798,10,3,6977.04,Potential Loyalist
12802,187,1,427.58,Hibernating
12808,37,3,483.65000000000003,Need Attention
12809,178,1,489.31,Hibernating
12811,261,3,514.85,At Risk
12812,45,1,229.64000000000001,Normal
12814,102,1,125.92,Hibernating
12815,148,2,1063.46,Hibernating
12816,96,2,572.2,Hibernating
12817,281,1,166.04,Hibernating
12818,262,1,1542.08,Hibernating
12820,3,4,942.34,Champions
12821,214,1,92.72,Hibernating
12822,71,2,948.88,Need Attention
12823,75,5,1759.5,At Risk
12824,60,1,397.12,Normal
12826,3,7,1474.72,Champions
12827,6,3,430.15000000000003,Potential Loyalist
12828,3,6,1018.71,Champions
12829,337,2,293.0,Hibernating
12830,38,6,6814.64,Loyal
12831,262,1,215.05,Hibernating
12832,32,2,383.03,Potential Loyalist
12833,145,1,417.38,Hibernating
12834,283,1,312.38,Hibernating
12836,59,4,2612.86,Loyal
12837,173,1,134.1,Hibernating
12838,34,2,683.13,Need Attention
12839,3,14,5591.42,Champions
12840,144,4,2726.77,At Risk
12841,5,25,4022.35,Champions
12842,70,2,1118.99,Need Attention
12843,66,8,1702.26,Loyal
12844,29,2,325.96000000000004,Potential Loyalist
12845,267,4,354.09,Normal
12847,22,1,871.54,New Customer
12849,31,2,1050.8899999999999,Potential Loyalist
12851,97,1,135.18,Hibernating
12852,295,1,311.55,Hibernating
12853,135,6,1957.1000000000001,At Risk
12854,79,3,1324.5,At Risk
12855,373,1,38.1,Hibernating
12856,8,6,2179.93,Champions
12857,211,2,1106.4,Hibernating
12863,52,1,521.2,Normal
12864,138,1,147.12,Hibernating
12865,26,2,1568.23,Potential Loyalist
12866,283,1,559.12,Hibernating
12867,26,7,4036.82,Champions
12868,186,6,1607.0600000000002,Can't Lose
12871,84,2,380.64,Hibernating
12872,327,2,599.97,Hibernating
12873,282,1,374.0,Hibernating
12875,143,2,343.2300000000001,Hibernating
12876,58,2,2218.02,Need Attention
12877,4,12,1535.77,Champions
12878,236,2,854.99,Hibernating
12879,45,3,573.22,Need Attention
12881,276,1,298.0,Hibernating
12882,9,2,1463.04,Potential Loyalist
12883,25,4,703.47,Loyal
12884,88,1,309.05,Hibernating
12885,63,3,1175.22,Need Attention
12886,68,2,1378.4,Need Attention
12888,214,2,354.12,Hibernating
12890,24,1,380.46999999999997,New Customer
12891,186,3,331.0,Normal
12893,31,1,188.14,New Customer
12895,42,2,372.8,Need Attention
12897,205,2,216.5,Hibernating
12901,9,28,17654.54,Champions
12902,265,1,138.68,Hibernating
12904,18,2,509.58,Potential Loyalist
12906,12,5,2919.81,Champions
12908,176,2,750.0,Hibernating
12909,40,5,2178.67,Loyal
12910,23,8,3075.04,Champions
12912,3,5,1662.3,Champions
12913,5,5,2483.63,Champions
12915,149,2,363.65,Hibernating
12916,139,4,3006.15,At Risk
12917,128,1,594.0,Hibernating
12919,8,6,1335.19,Champions
12920,17,1,164.23,New Customer
12921,9,37,16587.09,Champions
12922,161,1,405.38,Hibernating
12923,64,1,176.97,Normal
12924,88,4,933.7,At Risk
12925,5,2,694.05,Potential Loyalist
12928,35,5,2062.7000000000003,Loyal
12929,312,1,117.85,Hibernating
12930,78,2,415.8,Hibernating
12931,22,15,42055.96,Champions
12933,24,3,607.53,Potential Loyalist
12935,2,7,2160.7,Champions
12936,17,4,1063.9,Champions
12937,15,4,1504.27,Champions
12938,26,1,114.14,New Customer
12939,64,8,11581.8,Loyal
12940,55,2,913.54,Need Attention
12942,131,3,683.9,At Risk
12944,36,2,604.51,Need Attention
12945,288,1,462.95,Hibernating
12947,144,6,1603.99,At Risk
12948,16,7,2064.95,Champions
12949,31,8,4167.22,Champions
12950,2,3,1843.0,Potential Loyalist
12951,9,6,1064.07,Champions
12952,6,4,1387.79,Champions
12953,10,1,329.85,New Customer
12955,1,11,4757.16,Champions
12956,306,1,108.07,Hibernating
12957,10,8,4017.54,Champions
12962,7,2,266.39,Potential Loyalist
12963,8,8,1856.63,Champions
12965,89,1,771.91,Hibernating
12966,10,1,160.18,New Customer
12967,358,2,1660.9,Hibernating
12968,112,1,135.95,Hibernating
12970,7,4,452.24,Potential Loyalist
12971,4,86,11189.91,Champions
12974,198,1,144.8,Hibernating
12976,212,1,738.6,Hibernating
12977,156,1,39.239999999999995,Hibernating
12980,158,9,7374.900000000001,At Risk
12981,30,2,372.21999999999997,Potential Loyalist
12982,243,1,390.54,Hibernating
12984,19,1,97.5,New Customer
12985,1,2,1239.38,Potential Loyalist
12987,74,2,558.7,Hibernating
12988,292,1,535.32,Hibernating
12989,3,15,6924.110000000001,Champions
12990,31,3,409.5,Potential Loyalist
12991,23,2,503.76,Potential Loyalist
12993,23,4,414.76,Potential Loyalist
12994,4,3,974.4200000000001,Potential Loyalist
12995,85,1,211.32,Hibernating
12997,22,4,1226.89,Champions
12999,196,3,455.88,Normal
13000,107,3,534.85,At Risk
13001,4,13,9818.82,Champions
13002,318,1,120.94999999999999,Hibernating
13003,106,3,149.05,Normal
13004,12,18,5655.91,Champions
13005,174,2,513.7,Hibernating
13006,56,1,81.57,Normal
13008,323,1,229.46999999999997,Hibernating
13011,372,1,50.550000000000004,Hibernating
13012,9,8,1661.8400000000001,Champions
13013,1,13,4810.9400000000005,Champions
13014,11,10,3466.2799999999997,Champions
13015,53,5,3346.28,Loyal
13016,73,3,789.89,At Risk
13017,7,1,204.0,New Customer
13018,16,28,7277.7,Champions
13021,4,9,2616.38,Champions
13023,64,2,689.9,Need Attention
13026,1,5,975.36,Champions
13027,114,6,6912.0,At Risk
13028,23,2,661.3199999999999,Potential Loyalist
13029,31,3,1247.5,Potential Loyalist
13030,11,2,799.48,Potential Loyalist
13032,52,2,1010.18,Need Attention
13033,357,1,190.55,Hibernating
13034,55,2,642.77,Need Attention
13035,74,2,921.88,Hibernating
13037,138,3,881.07,At Risk
13038,80,3,908.46,At Risk
13040,9,2,676.99,Potential Loyalist
13043,273,1,516.42,Hibernating
13044,291,1,560.47,Hibernating
13045,99,1,305.28000000000003,Hibernating
13046,31,2,629.31,Potential Loyalist
13047,32,10,3237.54,Champions
13048,14,4,1835.91,Champions
13049,64,2,656.6800000000001,Need Attention
13050,15,17,5836.86,Champions
13052,212,1,348.15000000000003,Hibernating
13055,78,3,1214.41,At Risk
13058,25,3,271.40000000000003,Potential Loyalist
13059,250,1,183.4,Hibernating
13060,254,1,307.53,Hibernating
13061,72,1,248.61,Normal
13062,191,1,346.98,Hibernating
13064,13,4,1119.49,Champions
13065,373,1,205.86,Hibernating
13066,24,2,470.8,Potential Loyalist
13067,82,1,115.46000000000001,Hibernating
13068,10,2,344.0,Potential Loyalist
13069,1,24,4436.12,Champions
13070,192,1,228.8,Hibernating
13072,267,1,177.15,Hibernating
13075,130,1,919.61,Hibernating
13077,1,4,729.27,Loyal
13078,3,26,12627.94,Champions
13079,4,5,220.10000000000002,Normal
13080,179,1,58.08,Hibernating
13081,12,11,28337.38,Champions
13082,126,9,3613.63,At Risk
13083,4,2,303.75,Potential Loyalist
13085,158,2,416.08000000000004,Hibernating
13089,3,97,58825.83,Champions
13090,9,14,8910.82,Champions
13091,28,1,345.82,New Customer
13092,71,5,477.83,Need Attention
13093,276,8,7832.47,Can't Lose
13094,21,12,1927.3200000000002,Champions
13095,71,1,74.39999999999999,Normal
13097,33,10,6010.42,Champions
13098,1,28,28882.44,Champions
13099,99,1,207.35999999999999,Hibernating
13101,234,1,101.19,Hibernating
13102,1,24,6424.09,Champions
13103,40,1,243.94,Normal
13104,3,6,1098.48,Champions
13106,133,1,76.5,Hibernating
13107,44,4,1531.6200000000001,Loyal
13108,373,1,350.06,Hibernating
13109,60,2,786.54,Need Attention
13110,31,7,1488.67,Champions
13113,1,24,12245.960000000001,Champions
13115,12,4,2294.78,Champions
13116,138,1,501.14,Hibernating
13117,22,8,984.91,Champions
13118,20,5,1197.81,Champions
13120,239,1,30.599999999999998,Hibernating
13121,269,1,283.73,Hibernating
13122,94,2,922.39,Hibernating
13124,90,3,3866.33,At Risk
13126,5,8,2099.64,Champions
13127,78,1,259.17,Hibernating
13130,94,1,64.0,Hibernating
13131,23,3,1073.3,Potential Loyalist
13132,262,1,77.3,Hibernating
13133,274,2,109.8,Hibernating
13134,86,4,1793.58,At Risk
13135,197,1,3096.0,Hibernating
13136,56,5,2607.61,Loyal
13137,11,8,3650.41,Champions
13138,22,6,962.39,Champions
13139,16,7,5064.94,Champions
13140,108,3,423.72,Normal
13141,85,5,2388.75,At Risk
13142,19,1,307.09,New Customer
13144,333,1,110.95,Hibernating
13145,40,4,618.52,Loyal
13146,26,1,228.91,New Customer
13147,10,4,712.8000000000001,Loyal
13148,29,12,3707.12,Champions
13149,14,4,1676.06,Champions
13151,296,1,1257.8700000000001,Hibernating
13153,6,1,486.22,New Customer
13155,33,4,971.76,Champions
13157,49,4,1741.22,Loyal
13158,95,4,1201.06,At Risk
13159,9,4,1437.85,Champions
13160,22,1,91.8,New Customer
13161,313,1,112.75,Hibernating
13162,122,4,1688.29,At Risk
13165,46,2,1021.48,Need Attention
13166,283,1,417.2,Hibernating
13167,19,4,791.33,Loyal
13168,36,4,1319.19,Loyal
13169,64,2,712.88,Need Attention
13170,27,1,116.00999999999999,New Customer
13171,22,3,468.41,Potential Loyalist
13173,4,2,353.65,Potential Loyalist
13174,16,3,2817.03,Potential Loyalist
13176,46,1,492.84,Normal
13177,65,1,282.45,Normal
13178,26,11,5725.47,Champions
13182,45,1,121.18,Normal
13183,8,9,3957.78,Champions
13184,15,10,1701.29,Champions
13185,268,1,71.4,Hibernating
13186,40,3,1575.89,Need Attention
13187,337,1,236.02,Hibernating
13188,11,1,114.60000000000001,New Customer
13189,19,2,260.68,Potential Loyalist
13192,95,2,911.94,Hibernating
13193,61,1,117.88,Normal
13194,136,1,60.7,Hibernating
13196,11,4,1797.78,Champions
13198,10,6,3401.2400000000002,Champions
13199,4,38,9817.12,Champions
13200,19,4,870.09,Loyal
13203,10,4,869.46,Loyal
13207,15,2,250.26000000000002,Potential Loyalist
13208,59,6,1223.9,Loyal
13209,30,8,5891.61,Champions
13210,94,1,353.48,Hibernating
13211,10,3,1197.42,Potential Loyalist
13212,20,3,788.08,Potential Loyalist
13213,57,5,1520.58,Loyal
13216,268,1,333.74,Hibernating
13217,122,3,533.98,At Risk
13218,127,1,62.63999999999999,Hibernating
13220,78,4,819.2900000000001,At Risk
13221,240,2,847.41,Hibernating
13223,200,2,163.20000000000002,Hibernating
13224,60,2,2155.95,Need Attention
13225,3,7,6463.84,Champions
13226,273,1,108.21000000000001,Hibernating
13227,202,1,257.7,Hibernating
13228,81,1,358.0,Hibernating
13229,226,1,160.95,Hibernating
13230,4,14,2806.97,Champions
13232,13,7,1357.6,Champions
13233,74,2,605.12,Hibernating
13235,212,1,1031.07,Hibernating
13236,25,2,744.85,Potential Loyalist
13238,17,4,700.73,Loyal
13239,262,1,329.56,Hibernating
13240,96,4,663.65,At Risk
13242,112,3,270.40000000000003,Normal
13243,203,1,600.07,Hibernating
13244,93,1,121.74000000000001,Hibernating
13245,51,1,430.5,Normal
13246,18,6,1987.3,Champions
13247,18,4,501.12,Loyal
13248,125,2,465.68,Hibernating
13249,92,3,711.41,At Risk
13253,157,2,1030.4,Hibernating
13255,9,2,399.51,Potential Loyalist
13258,12,3,698.58,Potential Loyalist
13259,62,1,292.32,Normal
13260,61,1,557.62,Normal
13261,269,2,944.1,Hibernating
13262,263,1,200.29,Hibernating
13263,1,35,7454.07,Champions
13265,53,5,2107.66,Loyal
13266,11,12,3834.2599999999998,Champions
13267,3,19,4521.49,Champions
13268,18,11,3214.69,Champions
13269,1,15,5346.2300000000005,Champions
13270,366,1,590.0,Hibernating
13271,37,1,217.38,Normal
13272,31,2,276.56,Potential Loyalist
13273,113,1,138.98,Hibernating
13276,64,2,590.9300000000001,Need Attention
13277,16,4,258.4,Potential Loyalist
13278,41,1,542.73,Normal
13279,78,1,137.75,Hibernating
13280,122,3,814.86,At Risk
13282,18,3,1132.14,Potential Loyalist
13283,60,2,93.66,Normal
13284,331,1,201.19,Hibernating
13285,23,4,2709.12,Champions
13291,156,1,361.11,Hibernating
13292,39,2,578.9399999999999,Need Attention
13294,190,2,873.74,Hibernating
13295,360,1,201.20000000000002,Hibernating
13296,137,1,87.4,Hibernating
13297,8,4,2089.85,Champions
13298,1,1,360.0,New Customer
13299,268,1,142.5,Hibernating
13300,169,1,371.89,Hibernating
13301,104,4,618.09,At Risk
13302,155,1,63.75,Hibernating
13304,351,1,300.42,Hibernating
13305,4,10,2000.86,Champions
13307,120,1,15.0,Hibernating
13308,23,3,1385.51,Potential Loyalist
13309,7,5,1456.79,Champions
13310,28,3,1132.03,Potential Loyalist
13311,4,2,598.57,Potential Loyalist
13313,22,5,1555.32,Champions
13314,2,3,775.94,Potential Loyalist
13316,37,4,5977.7300000000005,Loyal
13317,66,6,2273.68,Loyal
13318,1,3,640.76,Potential Loyalist
13319,5,26,10845.550000000001,Champions
13320,78,4,1548.7,At Risk
13321,72,2,567.36,Need Attention
13322,17,1,199.48000000000002,New Customer
13323,3,5,787.85,Loyal
13324,36,10,7121.95,Loyal
13325,82,1,675.3,Hibernating
13327,39,8,3627.77,Loyal
13328,316,1,1308.48,Hibernating
13329,32,2,789.0,Potential Loyalist
13330,93,3,1140.93,At Risk
13332,14,1,350.9,New Customer
13334,82,3,3536.82,At Risk
13336,77,1,795.12,Hibernating
13338,158,1,487.02,Hibernating
13339,201,1,860.12,Hibernating
13340,45,7,10736.48,Loyal
13341,261,1,775.85,Hibernating
13343,178,1,353.43,Hibernating
13344,68,3,2543.72,Need Attention
13345,288,1,389.5,Hibernating
13347,70,1,341.36,Normal
13348,64,1,233.76,Normal
13349,11,1,247.32,New Customer
13350,16,2,979.12,Potential Loyalist
13351,66,1,373.94,Normal
13352,60,1,397.97999999999996,Normal
13354,71,1,743.53,Normal
13355,122,1,674.7,Hibernating
13356,80,1,768.24,Hibernating
13357,257,1,609.95,Hibernating
13358,269,1,439.03,Hibernating
13359,64,1,439.56,Normal
13362,9,4,3090.7400000000002,Champions
13363,18,2,992.5,Potential Loyalist
13364,71,1,134.95999999999998,Normal
13365,34,2,2225.37,Need Attention
13366,50,1,56.160000000000004,Normal
13368,257,2,623.4,Hibernating
13369,366,1,308.28000000000003,Hibernating
13370,372,1,754.87,Hibernating
13372,90,1,378.64,Hibernating
13373,61,3,3312.25,Need Attention
13375,89,1,778.65,Hibernating
13376,99,3,1019.76,At Risk
13379,26,3,572.56,Potential Loyalist
13381,32,6,3639.31,Champions
13382,281,1,222.99,Hibernating
13384,31,7,4151.93,Champions
13385,330,1,534.57,Hibernating
13388,131,2,677.1,Hibernating
13389,11,3,797.96,Potential Loyalist
13390,75,1,544.08,Hibernating
13391,204,1,59.8,Hibernating
13394,2,8,2520.02,Champions
13395,185,1,307.72,Hibernating
13396,29,2,1360.99,Potential Loyalist
13397,73,5,1544.13,At Risk
13398,192,1,457.34,Hibernating
13402,127,2,621.23,Hibernating
13403,18,1,75.0,New Customer
13404,1,2,252.49,Potential Loyalist
13405,74,3,572.451,At Risk
13408,2,62,28117.04,Champions
13410,24,5,1003.06,Champions
13411,107,1,213.55,Hibernating
